2020-11-28 19:53:07.578 [XNIO-1 task-1] [INFO ] [com.example.demo.aop.AuditAspect] - after POST request on uri /api/v1/users/1, consume 70ms, throw User already exist
2020-11-28 19:53:17.493 [configTaskScheduler-10] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:54:57.498 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:56:37.500 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:57:40.899 [XNIO-1 task-1] [INFO ] [com.example.demo.aop.AuditAspect] - receive POST request on uri /api/v1/users/3 to create_user
2020-11-28 19:57:40.901 [XNIO-1 task-1] [INFO ] [com.example.demo.aop.AuditAspect] - after POST request on uri /api/v1/users/3 return, consume 2ms
2020-11-28 19:57:49.546 [XNIO-1 task-1] [INFO ] [com.example.demo.aop.AuditAspect] - receive POST request on uri /api/v1/users/3 to create_user
2020-11-28 19:57:49.549 [XNIO-1 task-1] [INFO ] [com.example.demo.aop.AuditAspect] - after POST request on uri /api/v1/users/3, consume 3ms, throw User already exist
2020-11-28 19:58:17.503 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:59:57.505 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 20:01:37.508 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 20:03:17.511 [configTaskScheduler-3] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 20:04:57.514 [configTaskScheduler-3] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 20:06:37.518 [configTaskScheduler-3] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 20:08:17.521 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 20:09:57.523 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 20:11:37.525 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 20:13:17.529 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 20:14:57.532 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 20:16:37.533 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 20:18:17.537 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 20:19:57.542 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 20:21:37.546 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
